ID,LAT,LONG
BV002,25.67833,-80.275
BV009,25.68417,-80.28444
BV010,25.73946,-80.30803
BV015,25.72167,-80.32583
BV019,25.75374,-80.38053
BV021,25.77381,-80.30873
BV022,25.67417,-80.28389
BV023,25.70202,-80.38422
BV024,25.74688,-80.37618
BV025,25.74671,-80.43027
BV026,25.76034,-80.4618
BV027,25.76086,-80.49772
BV028,25.6088,-80.31977
BV029,25.6644,-80.27697
BV030,25.67431,-80.30927
BV031,25.65976,-80.31029
BV032,25.77681,-80.30671
BV033,25.78344,-80.28069
BV034,25.77225,-80.31473
BV035,25.79368,-80.32066
BV036,25.69753,-80.35782
BV037,25.71113,-80.29938
BV038,25.56399,-80.3317
BV039,25.54042,-80.32801
BV041,25.4334,-80.47297
BV042,25.62982,-80.31763
BV043,25.68811,-80.38339
BV044,25.50678,-80.38891
BV045,25.83191,-80.3059
BV046,25.72788,-80.456
BV047,25.70753,-80.42919
BV048,25.555096,-80.38379
BV049,25.55900771,-80.35938692
BV050,25.40767,-80.52364
BV051,25.69420851,-80.29701
BV052,25.6100521,-80.30936
BV053,25.4619668,-80.33669
BV054,25.46312303,-80.34657
BV055,25.883336,-80.27086
BV056,25.939712,-80.15319
BV057,25.45176846,-80.42557
BV058,25.74328,-80.21112
BV059,25.70971,-80.42108
BV060,25.6085557,-80.51236
BV061,25.63485,-80.49743
BV062,25.518643,-80.34729
BV064,25.489777,-80.34914
BV072,25.289774,-80.44535
BV074,25.404071,-80.5587
BV075,25.60451,-80.39698
